ID,GRUPO_INSTITUCION,NOMBRE,MUNICIPIO,LOCALIDAD,LATITUD,LONGITUD,CONECTIVIDAD,DISTANCIA_TORRE_ESTATAL_CERCANA,TORRE_CERCANA_COORD,PROVEEDOR_PUBLICO,IPC,,,,
3519,SEGURIDAD,COMANDANCIA MUNICIPAL - YECORA,YECORA,YECORA,28.371039,-108.927441,CONECTADA,0.25,"28.37264, -108.925702",1,NIVEL 1 (BAJO),,,,
3520,SEGURIDAD,COMANDANCIA MUNICIPAL - BACANORA,BACANORA,BACANORA,28.978132,-109.399728,CONECTADA,0.07,"28.977583, -109.399342",1,NIVEL 1 (BAJO),,,,
3521,SEGURIDAD,COMANDANCIA MUNICIPAL - SAHUARIPA,SAHUARIPA,SAHUARIPA,29.06430828,-109.2405697,CONECTADA,1.01,"29.05581, -109.23689",1,NIVEL 1 (BAJO),,,,
3522,SEGURIDAD,COMANDANCIA MUNICIPAL - ARIVECHI,ARIVECHI,ARIVECHI,28.92733773,-109.1876277,CONECTADA,0.13,"28.92847, -109.18732",1,NIVEL 1 (BAJO),,,,
3523,SEGURIDAD,BATALLON DE INFANTERIA 24 - HERMOSILLO,HERMOSILLO,HERMOSILLO,29.11678508,-110.9499297,CONECTADA,3.74,"29.09162451, -110.9754325",1,NIVEL 1 (BAJO),,,,
3524,SEGURIDAD,HOSPITAL MILITAR REGIONAL - HERMOSILLO,HERMOSILLO,HERMOSILLO,29.11563903,-110.9497081,CONECTADA,3.66,"29.09162451, -110.9754325",1,NIVEL 1 (BAJO),,,,
3525,SEGURIDAD,COMPAÑIA DE MANTENIMIENTO 16/A. - HERMOSILLO,HERMOSILLO,HERMOSILLO,29.11361166,-110.9468816,CONECTADA,3.7,"29.09162451, -110.9754325",1,NIVEL 1 (BAJO),,,,
3233,SALUD,CENTRO DE SALUD RURAL ACONCHI,ACONCHI,ACONCHI,29.82632209,-110.227501,SIN CONEXION,0.73,"29.8262, -110.21989",0,NIVEL 3 (ALTO),,,,
3248,SALUD,CENTRO DE SALUD RURAL EL ZAPOTE,ALAMOS,EL ZAPOTE,26.77945191,-108.6906565,SIN CONEXION,21.53,"26.66351, -108.864288",0,NIVEL 3 (ALTO),,,,
3178,SALUD,BELEEM PITAHAYA,GUAYMAS,BEELEM PITAHAYA,27.77014187,-110.4372404,CONECTADA,9.77,"27.690069, -110.478103",0,NIVEL 2 (MEDIO),,,,
3179,SALUD,CAAPS,HERMOSILLO,HERMOSILLO,29.09966891,-110.9753877,CONECTADA,0.89,"29.09162451, -110.9754325",0,NIVEL 2 (MEDIO),,,,
3180,SALUD,CENTRO DE SALUD ALTAR,ALTAR,ALTAR,30.71523481,-111.8347816,CONECTADA,1.44,"30.70384167, -111.8277278",0,NIVEL 2 (MEDIO),,,,
3181,SALUD,CENTRO DE SALUD BACUM,BACUM,BACUM,27.55500396,-110.0850782,CONECTADA,0.01,"27.5551, -110.085",0,NIVEL 2 (MEDIO),,,,
3182,SALUD,CENTRO DE SALUD BENJAMIN HILL,BENJAMIN HILL,BENJAMIN HILL,30.16867212,-111.1172188,CONECTADA,0.1,"30.167956, -111.117789",0,NIVEL 2 (MEDIO),,,,
3183,SALUD,CENTRO DE SALUD BLOCK 410,CAJEME,CD OBREGON,27.45816878,-109.924122,CONECTADA,0.84,"27.46464167, -109.9284222",0,NIVEL 2 (MEDIO),,,,
3184,SALUD,CENTRO DE SALUD CANANEA,CANANEA,CANANEA,30.98379033,-110.3047997,CONECTADA,0.77,"30.9777, -110.308617",0,NIVEL 2 (MEDIO),,,,
